Date,MKT,SMB,HML,MOM
12/31/2002,0,0,0,0
1/31/2003,0,0,0,0
2/28/2003,0,0,0,0
3/31/2003,0,0,0,0
4/30/2003,0,0,0,0
5/30/2003,0,0,0,0
6/30/2003,0,0,0,0
7/31/2003,0,0,0,0
8/29/2003,0,0,0,0
9/30/2003,0,0,0,0
10/31/2003,0,0,0,0
11/28/2003,0,0,0,0
12/31/2003,0,0,0,0
1/30/2004,0.156,0.193,0.611,0.04
2/27/2004,0.156,0.193,0.611,0.04
3/31/2004,0.156,0.193,0.611,0.04
4/30/2004,0.11,0.186,0.726,-0.023
5/31/2004,0.11,0.186,0.726,-0.023
6/30/2004,0.11,0.186,0.726,-0.023
7/30/2004,0.032,0.148,0.837,-0.018
8/31/2004,0.032,0.148,0.837,-0.018
9/30/2004,0.032,0.148,0.837,-0.018
10/29/2004,0.101,0.329,0.745,-0.174
11/30/2004,0.101,0.329,0.745,-0.174
12/31/2004,0.101,0.329,0.745,-0.174
1/31/2005,0.107,0.386,0.715,-0.207
2/28/2005,0.107,0.386,0.715,-0.207
3/31/2005,0.107,0.386,0.715,-0.207
4/29/2005,0.094,0.409,0.682,-0.185
5/31/2005,0.094,0.409,0.682,-0.185
6/30/2005,0.094,0.409,0.682,-0.185
7/29/2005,0.113,0.395,0.664,-0.172
8/31/2005,0.113,0.395,0.664,-0.172
9/30/2005,0.113,0.395,0.664,-0.172
10/31/2005,0.106,0.37,0.749,-0.225
11/30/2005,0.106,0.37,0.749,-0.225
12/30/2005,0.106,0.37,0.749,-0.225
1/31/2006,0.083,0.344,0.788,-0.215
2/28/2006,0.083,0.344,0.788,-0.215
3/31/2006,0.083,0.344,0.788,-0.215
4/28/2006,0.087,0.321,0.773,-0.18
5/31/2006,0.087,0.321,0.773,-0.18
6/30/2006,0.087,0.321,0.773,-0.18
7/31/2006,0.084,0.331,0.761,-0.175
8/31/2006,0.084,0.331,0.761,-0.175
9/29/2006,0.084,0.331,0.761,-0.175
10/31/2006,0.07,0.345,0.711,-0.126
11/30/2006,0.07,0.345,0.711,-0.126
12/29/2006,0.07,0.345,0.711,-0.126
1/31/2007,0.097,0.306,0.71,-0.113
2/28/2007,0.097,0.306,0.71,-0.113
3/30/2007,0.097,0.306,0.71,-0.113
4/30/2007,0.04,0.319,0.677,-0.036
5/31/2007,0.04,0.319,0.677,-0.036
6/29/2007,0.04,0.319,0.677,-0.036
7/31/2007,0.013,0.272,0.587,0.128
8/31/2007,0.013,0.272,0.587,0.128
9/28/2007,0.013,0.272,0.587,0.128
10/31/2007,-0.018,0.266,0.508,0.244
11/30/2007,-0.018,0.266,0.508,0.244
12/31/2007,-0.018,0.266,0.508,0.244
1/31/2008,-0.008,0.268,0.51,0.23
2/29/2008,-0.008,0.268,0.51,0.23
3/31/2008,-0.008,0.268,0.51,0.23
4/30/2008,0.025,0.255,0.528,0.191
5/30/2008,0.025,0.255,0.528,0.191
6/30/2008,0.025,0.255,0.528,0.191
7/31/2008,0.041,0.282,0.518,0.159
8/29/2008,0.041,0.282,0.518,0.159
9/30/2008,0.041,0.282,0.518,0.159
10/31/2008,0.043,0.322,0.424,0.211
11/28/2008,0.043,0.322,0.424,0.211
12/31/2008,0.043,0.322,0.424,0.211
1/30/2009,0.058,0.257,0.433,0.252
2/27/2009,0.058,0.257,0.433,0.252
3/31/2009,0.058,0.257,0.433,0.252
4/30/2009,0.068,0.288,0.418,0.225
5/29/2009,0.068,0.288,0.418,0.225
6/30/2009,0.068,0.288,0.418,0.225
7/31/2009,0.062,0.297,0.445,0.195
8/31/2009,0.062,0.297,0.445,0.195
9/30/2009,0.062,0.297,0.445,0.195
10/30/2009,0.066,0.29,0.445,0.199
11/30/2009,0.066,0.29,0.445,0.199
12/31/2009,0.066,0.29,0.445,0.199
1/29/2010,0.054,0.363,0.408,0.175
2/26/2010,0.054,0.363,0.408,0.175
3/31/2010,0.054,0.363,0.408,0.175
4/30/2010,-0.043,0.48,0.421,0.142
5/31/2010,-0.043,0.48,0.421,0.142
6/30/2010,-0.043,0.48,0.421,0.142
7/30/2010,-0.219,0.509,0.478,0.233
8/31/2010,-0.219,0.509,0.478,0.233
9/30/2010,-0.219,0.509,0.478,0.233
10/29/2010,-0.26,0.438,0.534,0.288
11/30/2010,-0.26,0.438,0.534,0.288
12/31/2010,-0.26,0.438,0.534,0.288
1/31/2011,-0.23,0.472,0.539,0.219
2/28/2011,-0.23,0.472,0.539,0.219
3/31/2011,-0.23,0.472,0.539,0.219
4/29/2011,-0.23,0.332,0.615,0.283
5/31/2011,-0.23,0.332,0.615,0.283
6/30/2011,-0.23,0.332,0.615,0.283
7/29/2011,-0.139,0.181,0.619,0.34
8/31/2011,-0.139,0.181,0.619,0.34
9/30/2011,-0.139,0.181,0.619,0.34
10/31/2011,-0.097,0.2,0.541,0.356
11/30/2011,-0.097,0.2,0.541,0.356
12/30/2011,-0.097,0.2,0.541,0.356
1/31/2012,-0.059,0.259,0.52,0.28
2/29/2012,-0.059,0.259,0.52,0.28
3/30/2012,-0.059,0.259,0.52,0.28
4/30/2012,-0.046,0.281,0.504,0.261
5/31/2012,-0.046,0.281,0.504,0.261
6/29/2012,-0.046,0.281,0.504,0.261
7/31/2012,-0.017,0.289,0.459,0.269
8/31/2012,-0.017,0.289,0.459,0.269
9/28/2012,-0.017,0.289,0.459,0.269
10/31/2012,0.089,0.199,0.414,0.297
11/30/2012,0.089,0.199,0.414,0.297
12/31/2012,0.089,0.199,0.414,0.297
1/31/2013,0.093,0.277,0.401,0.229
2/28/2013,0.093,0.277,0.401,0.229
3/29/2013,0.093,0.277,0.401,0.229
4/30/2013,0.069,0.314,0.394,0.224
5/31/2013,0.069,0.314,0.394,0.224
6/28/2013,0.069,0.314,0.394,0.224
7/31/2013,0.002,0.315,0.462,0.221
8/30/2013,0.002,0.315,0.462,0.221
9/30/2013,0.002,0.315,0.462,0.221
10/31/2013,-0.04,0.309,0.464,0.266
11/29/2013,-0.04,0.309,0.464,0.266
12/31/2013,-0.04,0.309,0.464,0.266
1/31/2014,-0.068,0.27,0.56,0.237
2/28/2014,-0.068,0.27,0.56,0.237
3/31/2014,-0.068,0.27,0.56,0.237
4/30/2014,-0.065,0.276,0.573,0.216
5/30/2014,-0.065,0.276,0.573,0.216
6/30/2014,-0.065,0.276,0.573,0.216
7/31/2014,-0.014,0.265,0.586,0.163
8/29/2014,-0.014,0.265,0.586,0.163
9/30/2014,-0.014,0.265,0.586,0.163
10/31/2014,0.006,0.265,0.559,0.17
11/28/2014,0.006,0.265,0.559,0.17
12/31/2014,0.006,0.265,0.559,0.17
1/30/2015,0.009,0.209,0.517,0.265
2/27/2015,0.009,0.209,0.517,0.265
3/31/2015,0.009,0.209,0.517,0.265
4/30/2015,0.054,0.213,0.476,0.257
5/29/2015,0.054,0.213,0.476,0.257
6/30/2015,0.054,0.213,0.476,0.257
7/31/2015,0.07,0.226,0.449,0.254
8/31/2015,0.07,0.226,0.449,0.254
9/30/2015,0.07,0.226,0.449,0.254
10/30/2015,0.082,0.23,0.43,0.258
11/30/2015,0.082,0.23,0.43,0.258
12/31/2015,0.082,0.23,0.43,0.258
1/29/2016,0.087,0.251,0.419,0.243
2/29/2016,0.087,0.251,0.419,0.243
3/31/2016,0.087,0.251,0.419,0.243
4/29/2016,0.097,0.28,0.381,0.242
5/31/2016,0.097,0.28,0.381,0.242
6/30/2016,0.097,0.28,0.381,0.242
7/29/2016,0.109,0.317,0.333,0.241
8/31/2016,0.109,0.317,0.333,0.241
9/30/2016,0.109,0.317,0.333,0.241
10/31/2016,0.102,0.361,0.295,0.242
11/30/2016,0.102,0.361,0.295,0.242
12/30/2016,0.102,0.361,0.295,0.242
1/31/2017,0.113,0.367,0.265,0.255
2/28/2017,0.113,0.367,0.265,0.255
3/31/2017,0.113,0.367,0.265,0.255
4/28/2017,0.104,0.378,0.258,0.26
5/31/2017,0.104,0.378,0.258,0.26
6/30/2017,0.104,0.378,0.258,0.26
7/31/2017,0.033,0.389,0.263,0.315
8/31/2017,0.033,0.389,0.263,0.315
9/29/2017,0.033,0.389,0.263,0.315
10/31/2017,0.051,0.332,0.318,0.299
11/30/2017,0.051,0.332,0.318,0.299
12/29/2017,0.051,0.332,0.318,0.299
1/31/2018,0.06,0.296,0.38,0.264
2/28/2018,0.06,0.296,0.38,0.264
3/30/2018,0.06,0.296,0.38,0.264
4/30/2018,0.045,0.255,0.405,0.294
5/31/2018,0.045,0.255,0.405,0.294
6/29/2018,0.045,0.255,0.405,0.294
7/31/2018,0.067,0.236,0.44,0.257
8/31/2018,0.067,0.236,0.44,0.257
9/28/2018,0.067,0.236,0.44,0.257
10/31/2018,0.074,0.237,0.428,0.261
11/30/2018,0.074,0.237,0.428,0.261
12/31/2018,0.074,0.237,0.428,0.261
1/31/2019,0.072,0.265,0.388,0.275
2/28/2019,0.072,0.265,0.388,0.275
3/29/2019,0.072,0.265,0.388,0.275
4/30/2019,0.1,0.271,0.374,0.255
5/31/2019,0.1,0.271,0.374,0.255
6/28/2019,0.1,0.271,0.374,0.255
7/31/2019,0.106,0.277,0.366,0.251
8/30/2019,0.106,0.277,0.366,0.251
9/30/2019,0.106,0.277,0.366,0.251
10/31/2019,0.097,0.295,0.338,0.269
11/29/2019,0.097,0.295,0.338,0.269
12/31/2019,0.097,0.295,0.338,0.269
1/31/2020,0.145,0.272,0.323,0.26
2/28/2020,0.145,0.272,0.323,0.26
3/31/2020,0.145,0.272,0.323,0.26
4/30/2020,0.021,0.286,0.359,0.333
5/29/2020,0.021,0.286,0.359,0.333
6/30/2020,0.021,0.286,0.359,0.333
7/31/2020,0.027,0.277,0.396,0.3
8/31/2020,0.027,0.277,0.396,0.3
9/30/2020,0.027,0.277,0.396,0.3
10/30/2020,0.023,0.251,0.419,0.308
11/30/2020,0.023,0.251,0.419,0.308
12/31/2020,0.023,0.251,0.419,0.308
1/29/2021,0.024,0.225,0.461,0.29
2/26/2021,0.024,0.225,0.461,0.29
3/31/2021,0.024,0.225,0.461,0.29
4/30/2021,0.131,0.11,0.475,0.284
5/31/2021,0.131,0.11,0.475,0.284
6/30/2021,0.131,0.11,0.475,0.284
7/30/2021,0.187,0.17,0.41,0.233
8/31/2021,0.187,0.17,0.41,0.233
9/30/2021,0.187,0.17,0.41,0.233
10/29/2021,0.218,0.272,0.334,0.177
11/30/2021,0.218,0.272,0.334,0.177
12/31/2021,0.218,0.272,0.334,0.177